Reference,Device,Technique,n,Sural Nerve,wound infection,Superficial Infection,Deep Infection,rerupture,AOFAS,wound dehiscence,Debridement,Keloid Scars,Hypertrophic Scars,Average VAS Pain,VAS Satisfaction Average Scores,Load Failure,ATRS Score 3 months,ATRS Score 6 months,ATRS Scores Post 2 Years,OR Time (hours),Recovery Time (months),Time to Load Bearing,Weeks to Rehabilitation,Base Recovery Sporting,Sport Recovery Time (months),Discontinued Previous Sport,Short term Elongation Impairment,Incision,Hospital Stay
hmj6911_0274.pdf,Ai,rtr,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmj6911_0274.pdf,AI,too,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmj6911_0274.pdf,AI,too,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmj6911_0274.pdf,AI,tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMC4751334.pdf,scissor,surgery,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm,
PMC4751334.pdf,scissor,surgery,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm,
PMC5783482.pdf,retractors,retracting,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PMC5783482.pdf,retractors,retracting,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMC4751334.pdf,retractors,retracting,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm,
Chir_eng_03_Surgical_instruments.pdf,Scalpels,Cutting instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxoplasmosis3.pdf,scissor,surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,
